,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
299,San Patricio,US,28.017,-97.5169,94.06,39,78,10.22,broken clouds
300,Kuandian,CN,40.7286,124.7847,64.67,99,85,2.17,overcast clouds
301,Makakilo City,US,21.3469,-158.0858,77.32,72,75,13.8,broken clouds
302,Obihiro,JP,42.9172,143.2044,62.73,97,83,0.67,broken clouds
303,Avera,US,33.194,-82.5271,88.56,47,0,4.94,clear sky
304,Nemuro,JP,43.3236,145.575,62.76,100,100,12.24,overcast clouds
305,Srednekolymsk,RU,67.45,153.6833,42.19,52,0,3.96,clear sky
306,Rio Grande,BR,-32.035,-52.0986,57.31,62,3,14.34,clear sky
307,Kavieng,PG,-2.5744,150.7967,81.79,80,77,15.37,light rain
308,Guna,IN,24.65,77.3167,81.54,82,62,7.83,broken clouds
309,Palu,ID,-0.8917,119.8707,75.2,98,99,2.86,moderate rain
310,Vila Velha,BR,-20.3297,-40.2925,85.95,64,20,11.5,few clouds
311,Samarai,PG,-10.6167,150.6667,78.96,84,37,8.95,scattered clouds
312,Balabac,PH,7.9868,117.0645,81.9,76,100,8.03,overcast clouds
313,Martinsburg,US,39.4562,-77.9639,84.02,76,98,4.16,overcast clouds
314,Moen,NO,69.1304,18.6123,51.87,93,75,3.44,broken clouds
315,Marsh Harbour,BS,26.5412,-77.0636,84.09,73,77,16.96,broken clouds
316,Bafq,IR,31.6128,55.4107,92.03,8,0,7.85,clear sky
317,Tura,IN,25.5198,90.2201,76.96,91,72,5.32,broken clouds
318,Westport,US,41.1415,-73.3579,86.72,61,0,6.91,clear sky
319,Hofn,IS,64.2539,-15.2082,55.92,69,46,7.25,scattered clouds
320,Fortuna,US,40.5982,-124.1573,58.98,76,43,7.29,scattered clouds
321,Kungurtug,RU,50.5994,97.5228,52.95,64,36,2.35,scattered clouds
322,Pandan,PH,14.0453,124.1694,79.99,85,62,0.4,broken clouds
323,Kewanee,US,41.2456,-89.9248,76.48,82,100,4.45,overcast clouds
324,Te Anau,NZ,-45.4167,167.7167,50.94,89,99,9.35,moderate rain
325,Sinop,TR,41.7711,34.8709,64.9,79,0,4.72,clear sky
326,Bundi,IN,25.4417,75.6417,84.83,73,55,6.93,broken clouds
327,Pachino,IT,36.7186,15.0907,82.92,58,0,8.68,clear sky
328,Shelbyville,US,35.4834,-86.4603,90.01,55,0,9.22,clear sky
329,Hendaye,FR,43.3717,-1.7738,101.16,52,0,5.75,clear sky
330,Santa Barbara,US,34.7333,-120.0343,92.34,48,0,0.0,clear sky
331,Butaritari,KI,3.0707,172.7902,81.66,74,99,10.83,light rain
